name,ticker,sector,pe_ratio,industry,market_cap,ytd_return
Laboratory Corp of America Holdings,LH,Health Care,50.39,Healthcare Providers & Services,18009.26,0.06
Wayfair Inc,W,Consumer Discretionary,0.00,Diversified Retail,29015.09,2.18
Roku Inc,ROKU,Consumer Discretionary,0.00,Media & Publishing,24167.15,0.40
Kraft Heinz Company,KHC,Consumer Staples,22.81,Food & Tobacco,35735.97,-0.10
Valero Energy Corp,VLO,Energy,18.31,Oil & Gas,19335.85,-0.52
PPL Corp,PPL,Utilities,11.41,Multiline Utilities,20188.26,-0.28
Cerner Corp,CERN,Health Care,41.40,Healthcare Equipment & Supplies,20958.34,-0.08
Avalonbay Communities,AVB,Real Estate,26.69,Residential & Commercial REIT,20956.38,-0.30
Copart Inc,CPRT,Industrials,35.82,Specialty Retailers,24665.73,0.12
Ameriprise Financial Services,AMP,Financials,7.77,Investment Banking & Investment Services,17882.78,-0.13
Entergy Corp,ETR,Utilities,15.88,Electrical Utilities & IPPs,19476.56,-0.21
Take-Two Interacti,TTWO,Communication Services,42.58,Leisure Products,18081.72,0.33
Moderna Inc,MRNA,Health Care,0.00,Biotechnology & Medical Research,27116.01,2.45
West Pharmaceutical Services,WST,Health Care,73.25,Healthcare Equipment & Supplies,20456.82,0.79
Republic Services,RSG,Industrials,28.76,Professional & Commercial Services,30282.35,0.03
Lennar Corp,LEN,Consumer Discretionary,11.13,Homebuilding & Construction Supplies,24333.15,0.37
Ringcentral Inc,RNG,Information Technology,0.00,Software & IT Services,23913.74,0.55
Equifax Inc,EFX,Industrials,64.00,Professional & Commercial Services,18958.29,0.09
Yum China Holdings Inc,YUMC,Consumer Discretionary,39.10,Hotels & Entertainment Services,21458.25,0.05
Lyondellbasell Industries NV,LYB,Materials,12.09,Chemicals,24540.53,-0.26
Citrix Systems Inc,CTXS,Information Technology,23.19,Software & IT Services,16948.59,0.20
Coupa Software Inc,COUP,Information Technology,0.00,Software & IT Services,18467.84,0.82
Alnylam Pharmaceuticals,ALNY,Health Care,0.00,Biotechnology & Medical Research,15498.20,0.17
Incyte Corp,INCY,Health Care,49.20,Biotechnology & Medical Research,19011.51,-0.02
Vulcan Materials Company,VMC,Materials,27.06,Construction Materials,17010.31,-0.12
CBRE Group Inc,CBRE,Real Estate,13.63,Real Estate Operations,15071.41,-0.27
Quest Diagnostics Inc,DGX,Health Care,20.95,Healthcare Providers & Services,15475.69,0.04
Fifth Third Bncp,FITB,Financials,10.36,Banking Services,14323.17,-0.36
Immunomedics Inc,IMMU,Health Care,0.00,Biotechnology & Medical Research,19658.76,3.02
Epam Systems Inc,EPAM,Information Technology,63.59,Software & IT Services,17969.46,0.49
Maxim Integrated,MXIM,Information Technology,27.31,Semiconductors & Semiconductor Equipment,17575.07,0.05
Marketaxess Holdings,MKTX,Financials,64.74,Investment Banking & Investment Services,16971.47,0.19
Amcor Plc,AMCR,Materials,28.46,Containers & Packaging,16986.29,-0.02
Kansas City Southern,KSU,Industrials,30.96,Freight & Logistics Services,17084.77,0.18
Xylem Inc,XYL,Industrials,60.33,"Machinery, Equipment & Components",15103.98,0.05
